socket_type,N,data_size,D0_times,D1_times,D2_times
tcp,1,1,2.096e-5,0.004119835,0.000185889
tcp,1,8,0.000202832,0.000231928,0.000169106
tcp,1,64,2.4818e-5,0.012776993,0.000204785
tcp,1,512,0.000154669,0.000208994,0.00017073
tcp,1,4096,0.00029023,0.000359624,0.000272095
tcp,1,32768,8.0215e-5,0.001606823,0.000357891
tcp,2,1,0.000221177,0.000244302,0.000235766
tcp,2,8,0.000139409,0.002316143,0.002333877
tcp,2,64,0.000386637,0.000495367,0.000347942
tcp,2,512,0.000739798,0.0001656,0.000646589
tcp,2,4096,0.006401462,0.00033116,0.004749402
tcp,2,32768,0.00073507,0.000787591,0.000503893
tcp,3,1,0.000266104,0.002743969,0.005794931
tcp,3,8,0.000229313,0.000275592,0.000312163
tcp,3,64,0.003699654,0.00024848,0.003699253
tcp,3,512,0.000205787,0.000717696,0.000617953
tcp,3,4096,0.000697246,0.000716283,0.000479005
tcp,3,32768,0.000380454,0.002597827,0.002577889
tcp,4,1,0.000390795,0.000425251,0.00040368
tcp,4,8,0.002229014,0.000354715,0.000359224
tcp,4,64,0.008031449,0.000380004,0.000334826
tcp,4,512,0.000334375,0.000385835,0.000364444
tcp,4,4096,0.003335631,0.000565131,0.003284593
tcp,4,32768,0.001041391,0.00127384,0.000824722
tcp,6,1,0.000540684,0.002975556,0.011340209
tcp,6,8,0.00028968,0.000524523,0.000516447
tcp,6,64,0.000630919,0.000667208,0.000602774
tcp,6,512,0.000362771,0.002035601,0.002015231
tcp,6,4096,0.00496104,0.000595079,0.004961441
tcp,6,32768,0.003869072,0.003946731,0.001264993
tcp,8,1,0.000715973,0.015892569,0.015621376
tcp,8,8,0.000640667,0.001391858,0.001353884
tcp,8,64,0.000603024,0.000630919,0.000605369
tcp,8,512,0.000679883,0.000707716,0.000682007
tcp,8,4096,0.0009532,0.001953101,0.000934044
tcp,8,32768,0.001316141,0.008186919,0.008818259
tcp,11,1,0.000660094,0.000682477,0.000666497
tcp,11,8,0.000883106,0.000917432,0.000892744
tcp,11,64,0.000643012,0.001364384,0.001335349
tcp,11,512,0.000819482,0.00076109,0.000844401
tcp,11,4096,0.001278158,0.001125713,0.001230907
tcp,11,32768,0.002586544,0.002649807,0.001659184
tcp,16,1,0.001768415,0.00177113,0.000836124
