socket_type,N,data_size,D0_times,D1_times,D2_times,RUN
tcp,1,1,0.012178083,0.000518044,0.001624973,1
tcp,1,1,0.005668981,0.00040975,0.000353839,2
tcp,1,1,0.001261844,0.001329195,0.000533454,3
tcp,1,1,0.000260247,0.000375141,0.007195022,4
tcp,1,1,0.000348539,0.00037738,0.000396811,5
tcp,1,1,0.000408811,0.000456692,0.000364949,6
tcp,1,1,0.000425992,0.003658407,0.000409591,7
tcp,1,1,0.012188205,0.000355759,0.000293738,8
tcp,1,1,0.008444575,0.001481379,0.000561985,9
tcp,1,1,0.001668354,0.000535554,0.001698905,10
tcp,1,1,0.006206565,0.00036919,0.002367563,11
tcp,1,1,0.007282914,0.002796115,0.000449582,12
tcp,1,1,0.000325789,0.000574745,0.001729846,13
tcp,1,1,0.001562121,0.000531124,0.002428874,14
tcp,1,1,0.002427874,0.000577065,0.002127497,15
tcp,1,1,0.006716929,0.000591576,0.004389717,16
tcp,1,1,0.006558155,0.006649208,0.00033066,17
tcp,1,1,0.000335209,0.000425201,0.000402471,18
tcp,1,1,0.000270398,0.004532471,0.000750301,19
tcp,1,1,6.1191e-5,0.001077669,0.004069598,20
tcp,1,1,0.005678922,0.001146021,0.001070849,21
tcp,1,1,5.9091e-5,0.000865573,0.00039501,22
tcp,1,1,6.8152e-5,0.009598576,0.002374603,23
tcp,1,1,0.008094167,0.001014377,0.004729627,24
tcp,1,1,0.000357429,0.000441211,0.000325908,25
tcp,1,1,0.001148001,0.000953016,0.004245723,26
tcp,1,1,0.006620678,0.001559442,0.000886073,27
tcp,1,1,0.000232166,0.001669404,0.000550634,28
tcp,1,1,0.000336189,0.000454943,0.000324518,29
tcp,1,1,0.002173179,0.00074884,0.005778255,30
tcp,1,1,0.002163688,0.000446192,0.000408261,31
tcp,1,1,0.001873841,0.004545752,0.000626207,32
tcp,1,1,0.00225883,0.006943326,0.000322289,33
tcp,1,1,0.002907748,0.000840603,0.000760211,34
tcp,1,1,0.000537815,0.000573535,0.001656175,35
tcp,1,1,0.000367349,0.000420521,0.000340079,36
tcp,1,1,6.7332e-5,0.003221807,0.007633035,37
tcp,1,1,0.000363,0.000405051,0.000336359,38
tcp,1,1,0.007310466,0.000566765,0.002168058,39
tcp,1,1,0.000188895,0.00038561,0.003441813,40
tcp,1,1,0.00965877,0.009792504,0.0003897,41
tcp,1,1,0.000251037,0.000483003,0.008620942,42
tcp,1,1,0.002432846,0.000686529,0.012785104,43
tcp,1,1,0.001112781,0.000495744,0.001105469,44
tcp,1,1,0.000417491,0.000564715,0.001520471,45
tcp,1,1,0.005856287,0.000943815,0.000596987,46
tcp,1,1,7.0592e-5,0.002553039,0.000690659,47
tcp,1,1,0.000272777,0.000328069,0.000290848,48
tcp,1,1,0.000240856,0.000256876,0.000284208,49
tcp,1,1,0.00036289,0.000449443,0.000325459,50
tcp,1,8,0.002342073,0.002442116,0.00074568,1
tcp,1,8,5.9082e-5,0.009941778,0.000444592,2
tcp,1,8,0.000338919,0.00038616,0.000397051,3
tcp,1,8,0.007239735,0.008440218,0.00072095,4
tcp,1,8,0.001915061,0.0007448,0.001359267,5
tcp,1,8,0.000566785,0.00667856,0.000631077,6
tcp,1,8,0.000379001,0.000532654,0.000451202,7
tcp,1,8,0.008434657,0.000405571,0.000378,8
tcp,1,8,0.00038031,0.000420411,0.000321979,9
tcp,1,8,0.004632895,0.000558686,0.000882173,10
tcp,1,8,6.6562e-5,0.001650954,0.002100317,11
tcp,1,8,0.008767687,0.000776931,0.010478243,12
tcp,1,8,0.010629137,0.000427422,0.000397351,13
tcp,1,8,6.5051e-5,0.001407078,0.001427729,14
tcp,1,8,6.0912e-5,0.006509946,0.000630288,15
tcp,1,8,0.00037976,0.010393951,0.000395001,16
tcp,1,8,0.003505845,0.000442022,0.000397311,17
tcp,1,8,0.000298978,0.00037177,0.000310799,18
tcp,1,8,0.000272567,0.000558605,0.000477113,19
tcp,1,8,0.000318559,0.00074142,0.004928583,20
tcp,1,8,0.00033422,0.000405291,0.00035433,21
tcp,1,8,0.003785012,0.000399601,0.000282808,22
tcp,1,8,0.000366589,0.000431181,0.0003924,23
tcp,1,8,0.001001437,0.00036847,0.001069099,24
tcp,1,8,0.00037174,0.000451482,0.000407141,25
tcp,1,8,0.00036135,0.000434932,0.000396571,26
tcp,1,8,6.1432e-5,0.003399392,0.000475303,27
tcp,1,8,0.005357195,0.000587866,0.011825151,28
tcp,1,8,0.000357059,0.005506949,0.000313268,29
tcp,1,8,5.6841e-5,0.001998944,0.00039194,30
tcp,1,8,0.001261974,0.001390647,0.000618847,31
tcp,1,8,6.3771e-5,0.002131428,0.000676348,32
tcp,1,8,0.000231886,0.000246617,0.000313838,33
tcp,1,8,0.001765188,0.010029453,0.000632237,34
tcp,1,8,6.8172e-5,0.001411478,0.002131778,35
tcp,1,8,0.008314955,0.000457193,0.000315408,36
tcp,1,8,6.4442e-5,0.00110462,0.000415741,37
